,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
0,SÃO PAULO,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,MECD ESPANHA,0963-10-0,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDAD DE ALICANTE
1,MINAS GERAIS,2010,2011,PÓS-DOUTORADO,,MES CUBA DOCENTE - CAPES/MES CUBA,823737,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE MINAS GERAIS
2,AMAZONAS,2010,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5246-09-1,UNIVERSIDADE FEDERAL DO AMAZONAS,CORNELL UNIVERSITY
3,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2767-12-0,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,CALIFORNIA INSTITUTE OF TECHNOLOGY
4,RIO GRANDE DO NORTE,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9117-11-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSITAT DE BARCELONA
5,RIO GRANDE DO NORTE,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9117-11-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSITAT DE BARCELONA
6,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),2143-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE DE LISBOA
7,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),2143-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE DE LISBOA
8,RIO GRANDE DO NORTE,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,COOPERAÇÃO INTERNACIONAL,1664-10-7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,WAGENINGEN UNIVERSITY
9,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3550-10-9,UNIVERSIDADE FEDERAL DE OURO PRETO,UNIVERSITÉ LAVAL
10,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),6019-11-0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSIDADE DO MINHO
11,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),6019-11-0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSIDADE DO MINHO
12,MINAS GERAIS,2009,2010,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4190-08-4,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,DANMARKS TEKNISKE UNIVERSITET
13,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9119-11-6,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
14,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9119-11-6,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
15,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9553-11-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD CARLOS III DE MADRID
16,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9553-11-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD CARLOS III DE MADRID
17,SANTA CATARINA,2012,2012,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,7149-11-5,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSITÄT AUGSBURG
