BR_Origem,ex_1,ex_2,ex_3,ex_4,ex_5,ex_6,ex_7,ex_8,ex_9,ex_10,ex_11,ex_12,ex_13,ex_14,ex_15,ex_16,ex_17,ex_18,ex_19,ex_20,ex_21,ex_22,ex_23,ex_24,ex_25,ex_26,ex_27,ex_28,ex_29,ex_outros
br_1,63,48,106,59,35,75,42,33,42,30,70,21,11,25,34,47,31,37,13,31,13,32,35,25,29,30,22,15,14,0
br_2,65,28,56,27,14,44,17,14,17,20,23,21,12,16,12,12,8,7,11,10,11,9,4,5,13,13,12,9,9,0
br_3,71,25,56,29,20,47,41,27,6,12,20,18,9,12,8,5,10,13,6,8,6,12,22,3,8,20,16,3,7,0
br_4,34,36,46,22,18,40,20,26,10,15,23,9,6,9,10,11,11,14,9,4,9,11,7,14,15,6,8,3,6,0
br_5,43,34,41,61,32,28,21,22,4,16,5,35,15,14,7,5,4,6,9,11,12,3,3,19,6,8,5,10,5,0
br_6,25,34,45,19,12,43,39,16,11,15,18,15,5,9,11,11,22,8,8,13,3,8,11,5,15,6,8,3,16,0
br_7,41,15,48,13,19,17,22,11,8,13,11,5,7,3,17,8,6,5,8,6,9,0,8,7,10,12,5,6,1,0
br_8,34,27,17,23,14,7,5,15,17,9,5,11,5,7,6,8,7,7,9,5,5,0,2,7,2,1,2,3,1,0
br_9,34,21,25,16,10,12,10,13,7,9,6,6,8,6,6,5,6,3,4,3,4,9,6,3,4,3,1,3,9,0
br_10,29,19,7,28,25,10,7,5,6,3,4,7,7,3,2,7,5,10,5,0,4,6,4,6,5,3,3,3,4,0
br_11,29,27,13,36,23,20,19,17,3,13,12,7,9,0,2,4,4,4,16,0,6,4,7,3,2,7,12,2,17,0
br_12,21,21,17,11,14,6,2,9,17,10,1,4,6,9,3,4,3,3,3,5,4,1,0,2,1,1,3,3,0,0
br_13,44,30,19,17,3,12,23,23,5,8,2,4,17,5,4,0,12,2,7,0,18,3,8,1,2,6,8,4,3,0
br_14,27,23,9,15,17,5,7,11,8,1,1,4,14,7,3,2,6,1,5,2,1,0,2,5,5,2,0,5,0,0
br_15,25,20,17,19,23,11,2,7,3,9,1,7,9,6,5,0,5,5,4,3,0,0,0,2,0,1,3,1,0,0
br_16,17,13,8,14,20,3,11,2,4,6,5,9,5,9,3,4,3,6,1,1,3,7,1,3,1,3,0,1,3,0
br_17,32,29,12,17,5,11,6,6,1,14,9,5,4,1,5,2,5,7,9,0,1,6,2,5,0,0,2,4,2,0
br_18,23,21,21,26,8,14,15,9,0,8,8,5,1,1,1,4,7,0,5,1,3,13,3,1,1,7,9,1,6,0
br_19,9,6,13,5,6,2,1,2,17,0,1,2,1,8,3,13,0,1,0,15,0,1,0,0,1,1,0,2,0,0
br_20,6,2,10,6,9,0,0,1,10,1,0,2,1,2,0,7,0,2,0,30,0,0,1,1,0,0,0,0,1,0
br_21,27,14,9,6,1,2,2,4,5,2,0,1,5,12,5,1,3,4,3,0,5,1,1,2,0,0,0,5,0,0
br_22,9,17,9,7,1,14,10,2,1,1,4,1,1,0,2,2,6,3,0,0,0,6,5,4,1,7,7,0,17,0
br_23,29,8,4,10,12,6,15,11,13,10,3,0,12,4,2,0,3,2,0,1,2,3,2,2,2,3,0,6,0,0
br_24,23,11,1,2,6,4,5,6,6,11,2,6,1,8,4,1,3,3,2,2,1,0,0,4,1,2,0,2,0,0
br_25,10,2,6,8,4,5,1,3,2,5,4,2,1,7,2,5,0,2,1,2,6,0,0,0,4,0,1,9,0,0
br_26,30,16,7,12,17,12,17,8,3,4,1,13,2,1,2,0,2,3,5,0,3,8,4,6,0,3,3,1,3,0
br_27,14,12,7,13,9,0,1,4,7,4,1,1,3,9,5,4,2,2,0,1,0,0,0,0,2,1,0,2,0,0
br_28,4,4,9,6,0,9,0,2,2,2,21,1,0,3,5,2,2,2,2,1,0,2,3,1,1,0,1,0,2,0
br_29,14,20,6,16,10,0,2,7,1,6,2,0,4,1,4,0,1,2,11,0,10,0,0,1,1,1,0,1,2,0
br_outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
