,ex_1,ex_2,ex_3,ex_4,ex_5,ex_6,ex_7,ex_8,ex_9,ex_10,ex_11,ex_12,ex_13,ex_14,ex_15,ex_16,ex_17,ex_18,ex_19,ex_20,ex_21,ex_22,ex_23,ex_24,ex_25,ex_26,ex_27,ex_28,ex_29
br_1,7956,8124,10416,8198,8244,9503,9415,7954,7034,8803,7747,8808,8150,8393,8088,8281,9409,8184,8392,9817,1666,9406,7690,8146,9571,9407,9415,8004,9404
br_2,8802,8970,10547,9044,9090,10348,10261,8801,7410,9647,8305,9652,8996,9239,8317,8683,10255,8682,9238,10663,842,10252,8217,8698,10415,10253,10261,8850,10250
br_3,7715,7884,10643,7962,8009,9276,9173,7713,7181,8537,7797,8543,7912,8140,8290,8409,9166,8265,8139,9578,1966,9164,7758,8199,9345,9164,9173,7749,9162
br_4,7458,7627,10375,7702,7747,9009,8918,7457,6871,8303,7461,8309,7653,7894,8008,8092,8911,7934,7893,9320,2165,8908,7424,7862,9077,8909,8917,7505,8906
br_5,8434,8603,10569,8678,8724,9985,9894,8433,7311,9273,8118,9279,8629,8868,8290,8575,9887,8526,8867,10296,1217,9884,8046,8515,10053,9885,9893,8478,9883
br_6,7902,8070,10336,8143,8189,9446,9361,7901,6946,8756,7658,8761,8095,8343,8006,8193,9355,8094,8341,9762,1709,9352,7601,8057,9513,9353,9361,7954,9350
br_7,7277,7440,9765,7507,7551,8789,8729,7275,6258,8171,6889,8176,7462,7736,7394,7483,8722,7344,7734,9122,2342,8720,6841,7289,8853,8720,8728,7354,8717
br_8,7962,8127,10149,8198,8243,9493,9419,7960,6791,8832,7545,8837,8151,8410,7828,8044,9412,7967,8408,9817,1638,9410,7480,7944,9559,9410,9418,8024,9407
br_9,8266,8433,10355,8506,8551,9806,9724,8264,7067,9121,7865,9127,8458,8707,8062,8328,9718,8275,8706,10125,1343,9715,7794,8263,9873,9716,9724,8319,9713
br_10,5847,6017,10321,6096,6142,7412,7305,5845,6574,6673,6700,6679,6046,6272,7929,7643,7298,7283,6270,7710,3799,7296,6739,7091,7483,7296,7305,5881,7294
br_11,6513,6682,10353,6759,6806,8072,7971,6511,6675,7346,7000,7352,6710,6942,7952,7818,7965,7541,6941,8376,3124,7962,7007,7398,8142,7963,7971,6552,7961
br_12,7984,8151,10230,8223,8268,9520,9442,7983,6872,8848,7619,8853,8175,8429,7909,8124,9436,8044,8428,9841,1617,9433,7556,8018,9587,9434,9442,8042,9431
br_13,7714,7884,10654,7962,8008,9276,9172,7713,7191,8536,7806,8542,7912,8139,8302,8420,9166,8275,8138,9577,1970,9163,7767,8207,9345,9164,9172,7748,9162
br_14,5607,5772,9711,5843,5888,7139,7064,5606,5956,6493,6085,6497,5796,6061,7324,7019,7057,6663,6059,7461,3993,7055,6119,6478,7205,7055,7063,5678,7052
br_15,5637,5807,10148,5884,5930,7197,7096,5636,6391,6479,6473,6484,5834,6069,7764,7440,7090,7064,6068,7500,3985,7087,6518,6863,7266,7088,7096,5680,7085
br_16,7867,8033,10214,8106,8151,9403,9325,7865,6825,8731,7545,8736,8058,8312,7882,8072,9319,7978,8310,9724,1734,9316,7486,7944,9470,9317,9325,7925,9314
br_17,8802,8970,10552,9044,9090,10348,10261,8801,7414,9646,8308,9652,8996,9239,8322,8688,10255,8686,9238,10663,843,10252,8221,8702,10415,10253,10261,8849,10250
br_18,7721,7890,10647,7968,8015,9282,9179,7719,7187,8543,7804,8549,7918,8146,8295,8415,9172,8272,8145,9584,1961,9170,7765,8205,9351,9170,9179,7755,9168
br_19,7491,7660,10526,7737,7783,9049,8950,7489,7020,8322,7595,8328,7688,7920,8159,8238,8943,8074,7919,9354,2162,8941,7562,7996,9118,8941,8950,7529,8939
br_20,7642,7810,10389,7885,7931,9192,9101,7641,6928,8488,7564,8493,7837,8079,8035,8159,9095,8024,8077,9504,1981,9092,7520,7965,9259,9093,9101,7689,9090
br_21,8904,9070,10345,9141,9187,10436,10361,8902,7265,9767,8212,9772,9094,9349,8137,8542,10355,8568,9348,10760,697,10352,8114,8602,10502,10353,10361,8962,10350
br_22,7728,7897,10649,7975,8021,9289,9186,7726,7190,8550,7809,8556,7925,8153,8298,8419,9179,8276,8152,9591,1955,9177,7769,8210,9358,9177,9186,7761,9175
br_23,6009,6159,8696,6212,6253,7431,7419,6007,4991,6970,5379,6972,6173,6497,6295,6135,7413,5887,6495,7792,3824,7410,5363,5780,7489,7411,7417,6140,7406
br_24,7434,7596,9716,7663,7707,8941,8884,7433,6250,8334,6931,8338,7618,7896,7356,7486,8878,7371,7894,9276,2197,8875,6875,7331,9004,8876,8883,7515,8872
br_25,9023,9191,10596,9265,9311,10569,10482,9021,7528,9865,8464,9871,9217,9459,8397,8805,10475,8827,9458,10884,643,10473,8370,8856,10636,10473,10481,9069,10471
br_26,7951,8119,10419,8193,8239,9498,9410,7949,7035,8797,7746,8803,8145,8388,8091,8282,9403,8184,8387,9812,1672,9401,7690,8146,9566,9401,9410,7999,9399
br_27,8222,8386,10004,8454,8499,9739,9676,8220,6735,9106,7575,9110,8408,8676,7714,8000,9669,7967,8675,10070,1391,9667,7494,7970,9804,9667,9675,8293,9664
br_28,7955,8123,10426,8198,8244,9503,9414,7954,7043,8801,7754,8807,8149,8392,8098,8289,9408,8191,8391,9816,1669,9405,7697,8154,9571,9406,9414,8003,9403
br_29,5750,5920,10268,5999,6045,7314,7208,5748,6515,6580,6618,6586,5948,6177,7879,7575,7201,7205,6175,7613,3888,7199,6660,7008,7384,7199,7208,5786,7198
