,nome_ies_destino_norm,pais_ies_destino,frequencia
0,universidade de lisboa,PORTUGAL,1179
1,universidade de coimbra,PORTUGAL,855
2,university of california system,ESTADOS UNIDOS,823
3,universidade do porto,PORTUGAL,766
4,universidade do minho,PORTUGAL,587
5,university of london,REINO UNIDO,583
6,universite paris nord paris xiii,FRANÇA,431
7,universidade de sao paulo,BRASIL,429
8,universidade nova de lisboa,PORTUGAL,404
9,university of florida,ESTADOS UNIDOS,354
10,universitat de barcelona,ESPANHA,339
11,harvard university,ESTADOS UNIDOS,321
12,universitat autonoma de barcelona,ESPANHA,313
13,universidade de aveiro,PORTUGAL,288
14,consejo superior de investigaciones cientificas,ESPANHA,243
15,university of texas system,ESTADOS UNIDOS,239
16,universidade estadual paulista julio de mesquita filho sede,BRASIL,232
17,university of illinois,ESTADOS UNIDOS,224
18,universite sorbonne nouvelle paris iii,FRANÇA,212
19,universidade federal do rio grande do sul,BRASIL,201
20,university of toronto,CANADÁ,200
21,universidad complutense de madrid,ESPANHA,193
22,wageningen university,HOLANDA,192
23,universidad de buenos aires,ARGENTINA,190
24,universidade federal do rio de janeiro,BRASIL,184
25,universite pantheon sorbonne paris 1,FRANÇA,179
26,columbia university,ESTADOS UNIDOS,178
27,universidade federal de santa catarina,BRASIL,176
28,universite de montreal,CANADÁ,172
29,university of cambridge,REINO UNIDO,171
30,universite paris diderot paris vii,FRANÇA,166
31,universite de vincennes a saint denis paris viii,FRANÇA,165
32,universidad de sevilla,ESPANHA,159
33,universite paris ouest nanterre la defense paris x,FRANÇA,159
34,texas a m university system office,ESTADOS UNIDOS,157
35,new york university,ESTADOS UNIDOS,157
36,mcgill university,CANADÁ,157
37,universitat de valencia,ESPANHA,149
38,centre national de la recherche scientifique,FRANÇA,149
39,universidade de brasilia,BRASIL,147
40,universite paris sorbonne paris iv,FRANÇA,142
41,universidad de salamanca,ESPANHA,140
42,university of oxford,REINO UNIDO,138
43,universite pierre et marie curie paris vi,FRANÇA,137
44,university of british columbia,CANADÁ,136
45,universidade federal de vicosa,BRASIL,135
46,universidad nacional autonoma de mexico,MÉXICO,133
47,universidade estadual de campinas,BRASIL,130
48,university of michigan,ESTADOS UNIDOS,130
49,universidade federal de minas gerais,BRASIL,129
50,universidade de evora,PORTUGAL,128
51,universita di bologna,ITÁLIA,128
52,university of alberta,CANADÁ,125
53,universite claude bernard lyon 1,FRANÇA,125
54,universidad autonoma de madrid,ESPANHA,123
