,nome_ies_origem_norm,uf_ies_origem,frequencia
0,universidade de sao paulo,SÃO PAULO,4025
1,universidade federal do rio grande do sul,RIO GRANDE DO SUL,2243
2,universidade federal do rio de janeiro,RIO DE JANEIRO,1987
3,universidade federal de minas gerais,MINAS GERAIS,1907
4,universidade federal de santa catarina,SANTA CATARINA,1777
5,universidade estadual de campinas,SÃO PAULO,1646
6,universidade de brasilia,DISTRITO FEDERAL,1247
7,universidade estadual paulista julio de mesquita filho sede,SÃO PAULO,1087
8,universidade federal do parana,PARANÁ,1069
9,universidade federal de pernambuco,PERNAMBUCO,928
10,universidade federal da bahia,BAHIA,924
11,universidade estadual paulista julio de mesquita filho,SÃO PAULO,862
12,universidade federal fluminense,RIO DE JANEIRO,752
13,universidade federal do ceara,CEARÁ,678
14,universidade federal do rio grande do norte,RIO GRANDE DO NORTE,644
15,universidade federal de sao carlos,SÃO PAULO,635
16,pontificia universidade catolica do rio grande do sul,RIO GRANDE DO SUL,626
17,universidade do estado do rio de janeiro,RIO DE JANEIRO,613
18,universidade federal de vicosa,MINAS GERAIS,612
19,universidade federal de lavras,MINAS GERAIS,488
20,universidade federal de santa maria,RIO GRANDE DO SUL,478
21,pontificia universidade catolica do rio de janeiro,RIO DE JANEIRO,454
22,universidade federal do para,PARÁ,450
23,universidade federal de goias,GOIÁS,432
24,universidade federal de pelotas,RIO GRANDE DO SUL,396
25,pontificia universidade catolica de sao paulo,SÃO PAULO,391
26,universidade estadual de maringa,PARANÁ,387
27,universidade federal de sao paulo,SÃO PAULO,374
28,universidade federal da paraiba,PARAÍBA,368
29,fundacao oswaldo cruz fiocruz,RIO DE JANEIRO,339
30,universidade federal de uberlandia,MINAS GERAIS,320
31,universidade estadual de londrina,PARANÁ,314
32,universidade federal do espirito santo,ESPÍRITO SANTO,294
33,universidade do vale do rio dos sinos,RIO GRANDE DO SUL,283
34,universidade federal de juiz de fora,MINAS GERAIS,254
35,universidade federal rural do rio de janeiro,RIO DE JANEIRO,251
36,universidade federal rural de pernambuco,PERNAMBUCO,242
37,pontificia universidade catolica do parana,PARANÁ,210
38,universidade federal do rio grande,RIO GRANDE DO SUL,186
39,universidade do estado de santa catarina,SANTA CATARINA,178
40,pontificia universidade catolica de minas gerais,MINAS GERAIS,166
41,universidade estadual do ceara,CEARÁ,159
42,universidade federal do estado do rio de janeiro,RIO DE JANEIRO,156
43,universidade estadual do norte fluminense darcy ribeiro,RIO DE JANEIRO,149
44,universidade federal de ouro preto,MINAS GERAIS,131
45,universidade federal do abc,SÃO PAULO,120
46,universidade do vale do itajai,SANTA CATARINA,119
47,universidade tecnologica federal do parana,PARANÁ,118
48,instituto nacional de pesquisas da amazonia,AMAZONAS,115
49,universidade federal de mato grosso,MATO GROSSO,114
50,instituto nacional de pesquisas espaciais,SÃO PAULO,111
51,universidade federal de alagoas,ALAGOAS,100
52,universidade federal de campina grande,PARAÍBA,99
53,universidade estadual do oeste do parana,PARANÁ,95
54,instituto tecnologico de aeronautica,SÃO PAULO,91
55,universidade presbiteriana mackenzie,SÃO PAULO,87
56,universidade federal do amazonas,AMAZONAS,83
57,universidade estadual de ponta grossa,PARANÁ,79
58,fundacao universidade federal de sergipe,SERGIPE,70
59,fundacao universidade federal de mato grosso do sul,MATO GROSSO DO SUL,68
60,universidade estadual de santa cruz,BAHIA,67
61,universidade federal de sergipe,SERGIPE,62
62,universidade federal do maranhao,MARANHÃO,62
63,fundacao getulio vargas rj,SÃO PAULO,62
64,universidade federal da grande dourados,MATO GROSSO DO SUL,60
65,universidade estadual de feira de santana,BAHIA,59
66,fundacao universidade de passo fundo,RIO GRANDE DO SUL,59
67,universidade federal de mato grosso do sul,MATO GROSSO DO SUL,51
68,universidade do porto,DISTRITO DO PORTO,50
69,universidade federal de itajuba,MINAS GERAIS,50
70,universidade nove de julho,SÃO PAULO,47
71,universidade catolica de brasilia,DISTRITO FEDERAL,47
72,universidade de caxias do sul,RIO GRANDE DO SUL,44
73,associacao instituto nacional de matematica pura e aplicada,RIO DE JANEIRO,44
74,universidade de coimbra,DISTRITO DE COIMBRA,43
75,universidade regional de blumenau,SANTA CATARINA,42
76,fundacao getulio vargas rj,RIO DE JANEIRO,41
77,universidade de pernambuco,PERNAMBUCO,40
78,university of london,ENGLAND,39
79,pontificia universidade catolica de campinas,SÃO PAULO,37
80,universidade federal da paraiba joao pessoa,PARAÍBA,36
81,universidade de santa cruz do sul,RIO GRANDE DO SUL,35
82,universidade do estado da bahia,BAHIA,35
83,universidade tiradentes,SERGIPE,34
84,universidade metodista de sao paulo,SÃO PAULO,34
85,universidade estadual da paraiba,PARAÍBA,32
86,universidade estadual do sudoeste da bahia,BAHIA,32
87,universidade de lisboa,DISTRITO DE LISBOA,31
88,universidade federal de sao joao del rei,MINAS GERAIS,31
89,observatorio nacional,RIO DE JANEIRO,30
90,universidade luterana do brasil,RIO GRANDE DO SUL,30
91,universidade federal do reconcavo da bahia,BAHIA,29
92,universidade federal rural do semi arido,RIO GRANDE DO NORTE,28
93,universidade metodista de piracicaba,SÃO PAULO,27
94,centro brasileiro de pesquisas fisicas,RIO DE JANEIRO,27
95,fundacao universidade federal de ciencias da saude de porto alegre,RIO GRANDE DO SUL,26
96,universidade catolica de pelotas,RIO GRANDE DO SUL,26
97,universidade de aveiro,DISTRITO DE AVEIRO,25
98,universidade sao francisco,SÃO PAULO,25
99,universidade de fortaleza,CEARÁ,25
100,fundacao oswaldo cruz fiocruz,MINAS GERAIS,25
101,universidade federal do piaui,PIAUÍ,25
102,universidade estadual do centro oeste,PARANÁ,23
103,universidade federal de alfenas,MINAS GERAIS,23
104,universitat de barcelona,CATALUNYA,23
105,instituto militar de engenharia,RIO DE JANEIRO,22
106,universidade do minho,DISTRITO DE BRAGA,22
107,universidade do estado do amazonas,AMAZONAS,22
108,universidade do sul de santa catarina,SANTA CATARINA,22
109,university of california system,CALIFORNIA,22
110,universidade federal do triangulo mineiro,MINAS GERAIS,22
111,instituto agronomico,SÃO PAULO,22
112,universidade do vale do paraiba,SÃO PAULO,21
113,universidade catolica dom bosco,MATO GROSSO DO SUL,21
114,universidade de sao paulo sao carlos,SÃO PAULO,21
115,universidade anhanguera de sao paulo,SÃO PAULO,21
116,universidade do estado de mato grosso,MATO GROSSO,21
117,universidade do estado de minas gerais,MINAS GERAIS,20
118,instituto nacional de cancer jose alencar gomes da silva,RIO DE JANEIRO,20
119,universidade de franca,SÃO PAULO,20
120,fundacao getulio vargas,SÃO PAULO,20
121,universidade positivo,PARANÁ,20
122,centro federal de educacao tecnologica de minas gerais,MINAS GERAIS,20
123,universidade federal do tocantins,TOCANTINS,20
124,escola superior de teologia,RIO GRANDE DO SUL,19
125,universidade federal dos vales do jequitinhonha e mucuri,MINAS GERAIS,19
126,fundacao getulio vargas,RIO DE JANEIRO,19
127,universite paris nord paris xiii,REGION ILE-DE-FRANCE,19
128,universidade estacio de sa,RIO DE JANEIRO,18
129,universidade cruzeiro do sul,SÃO PAULO,18
130,centro federal de educacao tecnologica celso suckow da fonseca,RIO DE JANEIRO,17
131,universidade feevale,RIO GRANDE DO SUL,17
132,fundacao vale do taquari de educacao e desenvolvimento social fuvates,RIO GRANDE DO SUL,17
133,universidade catolica de pernambuco,PERNAMBUCO,17
134,fundacao universitaria de cardiologia,RIO GRANDE DO SUL,17
135,universidade salvador,BAHIA,17
136,universidade do extremo sul catarinense,SANTA CATARINA,17
137,universidade nova de lisboa,DISTRITO DE LISBOA,16
138,univ regional do noroeste do estado do rio grande do sul,RIO GRANDE DO SUL,16
139,centro universitario de brasilia,DISTRITO FEDERAL,16
140,universidade regional do noroeste do estado do rio grande do sul,RIO GRANDE DO SUL,16
141,universite de vincennes a saint denis paris viii,REGION ILE-DE-FRANCE,16
142,universidade de sao paulo ribeirao preto,SÃO PAULO,16
143,instituto de pesquisa jardim botanico do rio de janeiro,RIO DE JANEIRO,15
144,universidade federal rural da amazonia,PARÁ,15
145,universidad de la habana,PROVINCIA DE LA HABANA,15
146,instituto de botanica,SÃO PAULO,15
147,universidade catolica do salvador,BAHIA,14
148,universidad de buenos aires,CIUDAD AUTONOMA DE BUENOS AIRES,14
149,instituto universitario de pesquisa do rio de janeiro,RIO DE JANEIRO,14
150,universite pantheon sorbonne paris 1,REGION ILE-DE-FRANCE,14
151,universidade estadual de mato grosso do sul,MATO GROSSO DO SUL,14
152,fundacao universidade federal do piaui,PIAUÍ,13
153,universidade federal de rondonia,RONDÔNIA,13
154,universidade estadual do rio grande do sul,RIO GRANDE DO SUL,13
155,universidad de la republica uruguay,DEPARTAMENTO DE MONTEVIDEO,13
156,university of florida,FLORIDA,13
157,laboratorio nacional de computacao cientifica,RIO DE JANEIRO,13
158,universitat autonoma de barcelona,CATALUNYA,13
159,escola superior de propaganda e marketing,SÃO PAULO,12
